Name of State/UT,Total Ration Cards,No. of Ration Cards Seeded with Aadhaar,Seeding (%),No. of Ration Cards Deleted
Andhra Pradesh,9427381,9427381,100,1155661
Andaman & Nicobar,12922,12922,100,37
Arunachal Pradesh,176342,78473,44.5,19561
Assam,5779442,0,0,129243
Bihar,15401000,12786374,83,41369
Chandigarh,63187,63187,100,NA
Chhattisgarh,5308000,5299000,100,1238000
Dadra & Nagar Haveli,42555,42555,100,549
Daman & Diu,21906,21906,100,631
Delhi,1942289,1942289,100,64090
Goa,140678,140344,100,157461
Gujarat,7079646,6915354,98,160685
Haryana,2647925,2644458,100,188425
Himachal Pradesh,713096,667731,94,3260
Jammu & Kashmir,1667296,987804,59,55344
Jharkhand,5725982,5558234,97,453958
Karnataka,11571715,11554076,100,2749532
Kerala,3502509,3444042,98,NA
Lakshadweep,5110,5005,98,1390
Madhya Pradesh,11767641,10891601,93,418509
Maharashtra,14828050,14305411,96,2162391
Manipur,555528,169829,31,336
Meghalaya,422968,0,0,NA
Mizoram,146129,127705,87,1503
Nagaland,284934,163764,57,3247
Odisha,8696791,8096145,93,686211
Puducherry,169784,169784,100,95393
Punjab,3492484,3427076,98,101249
Rajasthan,10063349,9645067,96,1466629
Sikkim,96084,84277,88,12840
Tamil Nadu,10004295,10003054,100,422746
Telangana,4927847,4927847,100,2097564
Tripura,588557,574871,98,176986
Uttar Pradesh,33025650,32247651,98,6880999
Uttarakhand,1330404,1197364,90,NA
West Bengal,60185752,37930606,63,6613961
Total,231815228,195553187,84.36,27559760
