Sl. No.,State/UT,% Aadhaar Seeding with Ration Cards,% Aadhaar Seeding with Beneficiaries,% FPS Automation
1,Andaman and Nicobar Islands,100,98,96
2,Andhra Pradesh,100,100,100
3,Arunachal Pradesh,60,43,100
4,Assam,18,6,0
5,Bihar,100,80,100
6,Chandigarh,100,88,NA
7,Chhattisgarh,100,98,98
8,Dadra & Nagar Haveli and Daman Diu,100,100,100
9,Delhi,100,100,99
10,Goa,100,95,100
11,Gujarat,100,95,100
12,Haryana,100,99,100
13,Himachal Pradesh,100,100,100
14,Jammu & Kashmir,100,93,100
15,Jharkhand,97,85,100
16,Karnataka,100,100,99
17,Kerala,100,96,100
18,Ladakh,95,83,100
19,Lakshadweep,100,98,100
20,Madhya Pradesh,100,98,100
21,Maharashtra,100,89,100
22,Manipur,99,99,84
23,Meghalaya,17,4,100
24,Mizoram,97,86,100
25,Nagaland,86,74,100
26,Odisha,99,99,100
27,Puducherry,100,95,NA
28,Punjab,100,100,100
29,Rajasthan,100,96,100
30,Sikkim,100,93,99
31,Tamil Nadu,100,100,100
32,Telangana,100,100,100
33,Tripura,100,88,100
34,Uttarakhand,100,100,100
35,Uttar Pradesh,100,99,100
36,West Bengal,80,75,100
Total,Total,92.8,90,92.7
