Sr.No.,State/UT,Population as per 2011 census,Aadhaar generated as on 30.11.2016,% Aadhaar generated
1,A & N Islands,379944,387171,102
2,Andhra Pradesh,49378776,50483253,102
3,Arunachal Pradesh,1382611,913536,66
4,Assam,31169272,1882365,6
5,Bihar,103804637,80093502,77
6,Chandigarh,1054686,1101357,104
7,Chhattisgarh,25540196,26119702,102
8,Dadra & Nagar Haveli,342853,343477,100
9,Daman & Diu,242911,203224,84
10,Delhi,16753235,20269779,121
11,Goa,1457723,1480161,102
12,Gujarat,60383628,55040488,91
13,Haryana,25353081,27073732,107
14,Himachal Pradesh,6856509,7228341,105
15,Jammu and Kashmir,12548926,8776819,70
16,Jharkhand,32966238,33286416,101
17,Karnataka,61130704,58660859,96
18,Kerala,33387677,34568836,104
19,Lakshadweep,64429,67230,104
20,Madhya Pradesh,72597565,69192767,95
21,Maharashtra,112372972,109643730,98
22,Manipur,2721756,1908217,70
23,Meghalaya,2964007,255805,9
24,Mizoram,1091014,560975,51
25,Nagaland,1980602,1120902,57
26,Odisha,41947358,36718293,88
27,Puducherry,1244464,1275702,103
28,Punjab,27704236,29383989,106
29,Rajasthan,68621012,61467361,90
30,Sikkim,607688,588255,97
31,Tamil Nadu,72138958,66443881,92
32,Telangana,35220187,37815374,107
33,Tripura,3671032,3620456,99
34,Uttar Pradesh,199581477,167291596,84
35,Uttarakhand,10116752,9635926,95
36,West Bengal,91347736,79213055,87
Grand Total,Grand Total,1210126852,1084116532,90
