Sl. No.,States/ UTs,Number of Deleted ration cards
1,Andaman & Nicobar,37
2,Andhra Pradesh,1150212
3,Arunachal Pradesh,14911
4,Assam,111182
5,Bihar,41369
6,Chhattisgarh,1166000
7,Dadra & Nagar Haveli,549
8,Daman & Diu,363
9,Delhi,30096
10,Goa,157461
11,Gujarat,149092
12,Haryana,163013
13,Himachal Pradesh,3260
14,Jharkhand,453958
15,Karnataka,3148117
16,Lakshadweep,1390
17,Madhya Pradesh,418509
18,Maharashtra,2162391
19,Mizoram,1503
20,Odisha,661372
21,Puducherry,95393
22,Punjab,101249
23,Rajasthan,1323406
24,Sikkim,12569
25,Tamil Nadu,422746
26,Telangana,2097564
27,Tripura,176986
28,Uttar Pradesh,4170894
29,West Bengal,6613961
Total,Total,24849553
